Landmark,x,y,City,Continent
The Statue of Liberty,243,176,New York,North America
Golden Gate Bridge,114,198,San Francisco,
Grand Canyon,130,203,Arizona,
CN Tower,222,174,Toronto,
Empire State Building,243,176,New York,
Everglades National Park,210,234,Florida,
Hoover Dam,130,198,Nevada,
Monument Valley,130,203,Arizona,
Mount Rushmore,156,180,South Dakota,
Niagra Falls,225,179,Ontario,
Space Needle,118,161,Seattle,
Hollywood sign,117,208,Los Angeles,
Chichen Itza,188,252,Yucatan,
White House,228,189,Washington DC,
Eiffel Tower,428,157,Paris,Europe
Arc de Triomphe,428,157,Paris,
Colosseum,452,181,Rome,
Big Ben,419,145,London,
Neuschwanstein Castle,449,157,Bavaria,
Brandenburg Gate,452,141,Berlin,
Stonenhenge,417,147,Wiltshire,
Kremlin,520,127,Moscow,
Mont Saint-Michel,422,156,Normandy,
The Louvre Museum,428,157,Paris,
The Palace of Versailles,425,159,Versailles,
Buckingham Palace,419,145,London,
Leading Tower of Pisa,448,176,Pisa,
Rialto Bridge,450,168,Venice,
Trevi Foundtain,452,181,Rome,
Acropolis,478,194,Athens,
Partheon,478,195,Athens,
Atomium,432,150,Brussels,
Edinburgh Castle,412,128,Edinburgh,
Gibraltar Nature Reserve,405,199,Gibraltar,
Taj Mahal,629,232,Agra,Asia
Tokyo Tower,775,203,Tokyo,
Lotus Temple,617,220,Delhi,
Burj Khalifa,562,236,Dubai,
Burj Al Arab,562,236,Dubai,
Petra,512,219,Petra,
Angkor Wat,692,274,Krong Siem Reap,
Dead Sea,510,216,Jordan,
The Forbidden City,716,189,Beijing,
The Terracotta Army Museum,698,210,Xian,
Fushimi Inari Taisha,766,203,Kyoto,
Mount Fuji,773,204,Shizuoka,
Petronas Twin Towers,686,304,Kuala Lumpur,
Shwedagon Pagoda,669,261,Yangon,
Jewel Changi Airport,690,307,Singapore,
Gardens by the Bay,690,307,Singapore,
The Grand Palace,681,273,Bangkok,
Gyeongbokgung Palace,744,197,Seoul,
Taipei 101,733,239,Taipei,
Sydney Opera House,803,419,Sydney,"Australia and
Oceania"
Bondi Beach,802,421,Sydney,
Great Barrier Reef,806,372,Queensland,
Hillier Lake,736,417,Western Australia,
Uluru,773,386,Northern Territory,
Sky Tower,863,426,Auckland,
Christ the Redeemer,304,383,Rio de Janeiro,South America
Machu Picchu,229,352,Cusco,
Iguazu Falls,277,391,Misiones Province,
Galapagos Islands,188,316,Equador,
Angel Falls,252,294,Bolívar,
Isthmus of Panama,209,287,Panama,
Easter Island,147,391,Chile,
Pyramids of Giza,500,225,Cairo,Africa
The Valley of Kings,502,234,Luxor,
Boulder's Bridge,470,419,Cape Town,
Kruger National Park,499,370,Limpopo,
Mount Kilimanjaro,515,324,Tanzania,
Serengeti National Park,511,322,Tanzania,
Victoria Falls,489,369,Matabeleland,
Avenue of Baobabs,534,376,Madagascar,
Maasai Mara,513,316,Kenya,
